id,degree,price_year,price_total,wtp_score,wtp_raw,gender,region,city_type,income,respondent_status
0,bachelor,105000,420000,0.0,"Ні, це забагато",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
0,bachelor,127000,508000,0.0,"Ні, це забагато",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
0,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
0,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
0,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
1,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
1,bachelor,127000,508000,0.0,"Ні, це забагато",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
1,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
1,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
1,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
2,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,м.Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
2,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,м.Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
2,bachelor,145000,580000,0.5,"Можливо, залежно від програми",Жіноча,м.Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
2,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,м.Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
2,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,м.Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
3,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,Харківська область ,Велике місто (понад 500 тис. населення),"Високе – сім’я матеріально забезпечена, коштів достатньо для комфортного життя.",Студент KSE
3,bachelor,127000,508000,1.0,"Так, це прийнятно",Жіноча,Харківська область ,Велике місто (понад 500 тис. населення),"Високе – сім’я матеріально забезпечена, коштів достатньо для комфортного життя.",Студент KSE
3,bachelor,145000,580000,1.0,"Так, ціна прийнятна",Жіноча,Харківська область ,Велике місто (понад 500 тис. населення),"Високе – сім’я матеріально забезпечена, коштів достатньо для комфортного життя.",Студент KSE
3,bachelor,152000,608000,1.0,"Так, все одно вступив(ла) б",Жіноча,Харківська область ,Велике місто (понад 500 тис. населення),"Високе – сім’я матеріально забезпечена, коштів достатньо для комфортного життя.",Студент KSE
3,bachelor,200000,800000,1.0,"Так, все одно вступив(ла) б",Жіноча,Харківська область ,Велике місто (понад 500 тис. населення),"Високе – сім’я матеріально забезпечена, коштів достатньо для комфортного життя.",Студент KSE
4,bachelor,105000,420000,1.0,"Так, це прийнятно",Чоловіча,Калуш,Сільська місцевість (село),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
4,bachelor,127000,508000,1.0,"Так, це прийнятно",Чоловіча,Калуш,Сільська місцевість (село),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
4,bachelor,145000,580000,1.0,"Так, ціна прийнятна",Чоловіча,Калуш,Сільська місцевість (село),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
4,bachelor,152000,608000,1.0,"Так, все одно вступив(ла) б",Чоловіча,Калуш,Сільська місцевість (село),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
4,bachelor,200000,800000,0.5,"Можливо, залежно від програми",Чоловіча,Калуш,Сільська місцевість (село),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
5,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
5,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
5,bachelor,145000,580000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
5,bachelor,152000,608000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
5,bachelor,200000,800000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,127000,508000,1.0,"Так, це прийнятно",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,145000,580000,1.0,"Так, ціна прийнятна",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,152000,608000,1.0,"Так, все одно вступив(ла) б",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,200000,800000,0.5,"Можливо, залежно від програми",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
8,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
8,bachelor,127000,508000,1.0,"Так, це прийнятно",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
8,bachelor,145000,580000,1.0,"Так, ціна прийнятна",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
8,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
8,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
9,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
9,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
9,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
9,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
9,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
10,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
10,bachelor,127000,508000,0.0,"Ні, це забагато",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
10,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
10,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
10,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
11,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
11,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
11,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
11,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
11,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
13,bachelor,105000,420000,1.0,"Так, це прийнятно",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
13,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
13,bachelor,145000,580000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
13,bachelor,152000,608000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
13,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
14,bachelor,105000,420000,0.0,"Ні, це забагато",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
14,bachelor,127000,508000,0.0,"Ні, це забагато",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
14,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
14,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
14,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
15,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
15,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
15,bachelor,145000,580000,0.5,"Можливо, залежно від програми",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
15,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
15,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
16,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
16,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
16,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
16,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
16,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
17,bachelor,105000,420000,1.0,"Так, це прийнятно",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
17,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
17,bachelor,145000,580000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
17,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
17,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
18,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Чоловіча,Львівська область ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент/студентка іншого університету
18,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Чоловіча,Львівська область ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент/студентка іншого університету
18,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Чоловіча,Львівська область ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент/студентка іншого університету
18,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Львівська область ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент/студентка іншого університету
18,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Львівська область ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент/студентка іншого університету
19,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
19,bachelor,127000,508000,0.0,"Ні, це забагато",Чоловіча,Київ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
19,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Чоловіча,Київ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
19,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
19,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
20,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
20,bachelor,127000,508000,1.0,"Так, це прийнятно",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
20,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
20,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
20,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
21,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
21,bachelor,127000,508000,1.0,"Так, це прийнятно",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
21,bachelor,145000,580000,1.0,"Так, ціна прийнятна",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
21,bachelor,152000,608000,1.0,"Так, все одно вступив(ла) б",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
21,bachelor,200000,800000,1.0,"Так, все одно вступив(ла) б",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
22,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Дніпропетровська,Середнє місто (50–500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
22,bachelor,127000,508000,0.0,"Ні, це забагато",Жіноча,Дніпропетровська,Середнє місто (50–500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
22,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Дніпропетровська,Середнє місто (50–500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
22,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Дніпропетровська,Середнє місто (50–500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
22,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Дніпропетровська,Середнє місто (50–500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
23,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Чоловіча,Київська область,Мале місто / селище міського типу (до 50 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
23,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Чоловіча,Київська область,Мале місто / селище міського типу (до 50 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
23,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Чоловіча,Київська область,Мале місто / селище міського типу (до 50 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
23,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київська область,Мале місто / селище міського типу (до 50 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
23,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київська область,Мале місто / селище міського типу (до 50 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
